EmployeeNumber,Department,JobRole,Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition,AttritionRisk,RiskTier
1,Sales,Sales Executive,41,5993,6,4,Yes,Yes,0.7227,Critical
2,Research & Development,Research Scientist,49,5130,10,2,No,No,0.1659,Low
4,Research & Development,Laboratory Technician,37,2090,0,3,Yes,Yes,0.6027,High
5,Research & Development,Research Scientist,33,2909,8,3,Yes,No,0.5331,High
7,Research & Development,Laboratory Technician,27,3468,2,2,No,No,0.5233,High
8,Research & Development,Laboratory Technician,32,3068,7,4,No,No,0.1577,Low
10,Research & Development,Laboratory Technician,59,2670,1,1,Yes,No,0.3133,Medium
11,Research & Development,Laboratory Technician,30,2693,1,3,No,No,0.326,Medium
12,Research & Development,Manufacturing Director,38,9526,9,3,No,No,0.1785,Low
13,Research & Development,Healthcare Representative,36,5237,7,3,No,No,0.21,Low
14,Research & Development,Laboratory Technician,35,2426,5,2,No,No,0.2305,Low
15,Research & Development,Laboratory Technician,29,4193,9,3,Yes,No,0.4264,Medium
16,Research & Development,Research Scientist,31,2911,5,3,No,No,0.304,Medium
18,Research & Development,Laboratory Technician,34,2661,2,4,No,No,0.2447,Low
19,Research & Development,Laboratory Technician,28,2028,4,3,Yes,Yes,0.9102,Critical
20,Research & Development,Manufacturing Director,29,9980,10,1,No,No,0.1497,Low
21,Research & Development,Research Scientist,32,3298,6,2,Yes,No,0.4155,Medium
22,Research & Development,Laboratory Technician,22,2935,1,4,Yes,No,0.6127,High
23,Sales,Manager,53,15427,25,4,No,No,0.1207,Low
24,Research & Development,Research Scientist,38,3944,3,4,Yes,No,0.3852,Medium
26,Research & Development,Manufacturing Director,24,4011,4,3,No,No,0.1543,Low
27,Sales,Sales Representative,36,3407,5,1,No,Yes,0.6715,High
28,Research & Development,Research Director,34,11994,12,2,No,No,0.1599,Low
30,Research & Development,Research Scientist,21,1232,0,4,No,No,0.4891,Medium
31,Research & Development,Research Scientist,34,2960,4,1,No,Yes,0.3978,Medium
32,Research & Development,Manager,53,19094,14,3,No,No,0.0656,Low
33,Research & Development,Research Scientist,32,3919,10,1,Yes,Yes,0.8527,Critical
35,Sales,Sales Executive,42,6825,9,2,No,No,0.2261,Low
36,Research & Development,Healthcare Representative,44,10248,22,4,No,No,0.1381,Low
38,Sales,Manager,46,18947,2,1,No,No,0.1961,Low
39,Research & Development,Laboratory Technician,33,2496,1,4,No,No,0.3586,Medium
40,Research & Development,Healthcare Representative,44,6465,4,4,Yes,No,0.2223,Low
41,Research & Development,Laboratory Technician,30,2206,10,3,No,No,0.2993,Low
42,Sales,Sales Representative,39,2086,1,4,No,Yes,0.4606,Medium
45,Research & Development,Research Scientist,24,2293,2,4,Yes,Yes,0.8164,Critical
46,Research & Development,Research Scientist,43,2645,5,3,No,No,0.0807,Low
47,Sales,Sales Representative,50,2683,3,3,Yes,Yes,0.6417,High
49,Sales,Sales Representative,35,2014,2,4,No,No,0.3005,Medium
51,Research & Development,Research Scientist,36,3419,1,1,Yes,No,0.5804,High
52,Sales,Sales Executive,33,5376,5,1,No,No,0.1575,Low
53,Research & Development,Laboratory Technician,35,1951,1,4,No,No,0.2891,Low
54,Research & Development,Laboratory Technician,27,2341,1,1,No,No,0.364,Medium
55,Research & Development,Laboratory Technician,26,2293,1,3,No,Yes,0.83,Critical
56,Sales,Sales Executive,27,8726,9,3,No,No,0.188,Low
57,Research & Development,Laboratory Technician,30,4011,12,4,No,No,0.1617,Low
58,Research & Development,Research Director,41,19545,22,3,No,Yes,0.1063,Low
60,Sales,Sales Executive,34,4568,9,3,No,No,0.3381,Medium
61,Research & Development,Research Scientist,37,3022,1,2,No,No,0.5145,High
62,Sales,Sales Executive,46,5772,9,4,Yes,No,0.3957,Medium
63,Research & Development,Laboratory Technician,35,2269,1,4,No,No,0.2039,Low
64,Research & Development,Laboratory Technician,48,5381,1,3,Yes,Yes,0.7964,Critical
65,Research & Development,Laboratory Technician,28,3441,2,3,Yes,Yes,0.8225,Critical
68,Sales,Sales Executive,44,5454,4,1,Yes,No,0.3711,Medium
70,Research & Development,Healthcare Representative,35,9884,4,1,Yes,No,0.4057,Medium
72,Sales,Sales Executive,26,4157,2,4,Yes,No,0.6288,High
73,Research & Development,Research Director,33,13458,15,4,Yes,No,0.2464,Low
74,Sales,Sales Executive,35,9069,9,1,No,No,0.2233,Low
75,Research & Development,Laboratory Technician,35,4014,2,1,Yes,No,0.5603,High
76,Research & Development,Laboratory Technician,31,5915,7,4,No,No,0.1039,Low
77,Research & Development,Manufacturing Director,37,5993,7,3,No,No,0.1113,Low
78,Research & Development,Manufacturing Director,32,6162,9,4,Yes,No,0.3131,Medium
79,Research & Development,Laboratory Technician,38,2406,10,4,No,No,0.2701,Low
80,Research & Development,Research Director,50,18740,27,3,Yes,No,0.2278,Low
81,Sales,Sales Executive,59,7637,21,1,No,No,0.3439,Medium
83,Research & Development,Healthcare Representative,36,10096,17,3,No,No,0.0828,Low
84,Research & Development,Manager,55,14756,5,3,Yes,No,0.1071,Low
85,Research & Development,Manufacturing Director,36,6499,6,2,No,No,0.2452,Low
86,Research & Development,Research Scientist,45,9724,1,1,No,No,0.1376,Low
88,Research & Development,Research Scientist,35,2194,3,1,No,No,0.3314,Medium
90,Research & Development,Research Scientist,36,3388,1,3,Yes,Yes,0.574,High
91,Sales,Sales Executive,59,5473,4,3,No,No,0.3572,Medium
94,Research & Development,Research Scientist,29,2703,5,2,No,No,0.1385,Low
95,Research & Development,Research Scientist,31,2501,1,2,No,No,0.4977,Medium
96,Research & Development,Research Scientist,32,6220,10,2,No,No,0.1147,Low
97,Research & Development,Laboratory Technician,36,3038,1,4,No,No,0.2994,Low
98,Research & Development,Manufacturing Director,31,4424,11,4,No,No,0.1332,Low
100,Sales,Sales Executive,35,4312,15,1,No,No,0.2794,Low
101,Research & Development,Research Director,45,13245,0,1,Yes,No,0.3171,Medium
102,Research & Development,Research Director,37,13664,5,3,No,No,0.2211,Low
103,Human Resources,Human Resources,46,5021,4,2,Yes,No,0.2867,Low
104,Research & Development,Laboratory Technician,30,5126,10,4,Yes,No,0.2654,Low
105,Research & Development,Research Scientist,35,2859,6,3,No,No,0.2518,Low
106,Sales,Sales Executive,55,10239,1,4,No,No,0.2296,Low
107,Research & Development,Research Scientist,38,5329,13,4,Yes,No,0.2207,Low
110,Research & Development,Manufacturing Director,34,4325,5,2,No,No,0.2728,Low
112,Research & Development,Manufacturing Director,56,7260,6,4,No,No,0.1352,Low
113,Sales,Sales Representative,23,2322,0,1,No,No,0.5412,High
116,Research & Development,Laboratory Technician,51,2075,4,4,No,No,0.1653,Low
117,Research & Development,Healthcare Representative,30,4152,11,4,No,No,0.1657,Low
118,Sales,Sales Executive,46,9619,9,4,No,Yes,0.4175,Medium
119,Research & Development,Healthcare Representative,40,13503,22,2,No,No,0.126,Low
120,Sales,Sales Executive,51,5441,10,4,Yes,No,0.4681,Medium
121,Sales,Sales Executive,30,5209,11,2,Yes,No,0.2688,Low
124,Research & Development,Healthcare Representative,46,10673,10,1,Yes,No,0.2977,Low
125,Sales,Sales Executive,32,5010,11,3,No,No,0.3065,Medium
126,Research & Development,Research Director,54,13549,4,3,No,No,0.1721,Low
128,Sales,Sales Executive,24,4999,3,3,No,No,0.2793,Low
129,Sales,Sales Executive,28,4221,5,3,No,No,0.2637,Low
131,Sales,Sales Executive,58,13872,37,3,No,No,0.1375,Low
132,Research & Development,Laboratory Technician,44,2042,3,2,No,No,0.29,Low
133,Human Resources,Human Resources,37,2073,3,1,Yes,Yes,0.5823,High
134,Research & Development,Research Scientist,32,2956,1,1,No,No,0.4517,Medium
137,Research & Development,Laboratory Technician,20,2926,1,4,Yes,Yes,0.8377,Critical
138,Research & Development,Research Scientist,34,4809,16,3,No,No,0.1672,Low
139,Research & Development,Healthcare Representative,37,5163,1,4,No,No,0.2048,Low
140,Human Resources,Manager,59,18844,3,4,No,No,0.0667,Low
141,Research & Development,Research Director,50,18172,8,2,Yes,No,0.2214,Low
142,Sales,Sales Executive,25,5744,6,3,Yes,Yes,0.7604,Critical
143,Research & Development,Research Scientist,25,2889,2,4,No,No,0.2228,Low
144,Research & Development,Laboratory Technician,22,2871,0,4,No,No,0.5902,High
145,Research & Development,Healthcare Representative,51,7484,13,1,No,No,0.3359,Medium
147,Research & Development,Laboratory Technician,34,6074,9,3,Yes,Yes,0.6596,High
148,Human Resources,Manager,54,17328,5,4,Yes,No,0.1913,Low
150,Research & Development,Laboratory Technician,24,2774,5,3,No,No,0.2886,Low
151,Research & Development,Research Scientist,34,4505,1,2,No,No,0.2706,Low
152,Sales,Sales Executive,37,7428,5,4,No,No,0.1917,Low
153,Research & Development,Manager,34,11631,11,1,No,No,0.1658,Low
154,Sales,Sales Executive,36,9738,9,4,No,No,0.1173,Low
155,Research & Development,Laboratory Technician,36,2835,1,4,No,No,0.3271,Medium
158,Sales,Manager,43,16959,25,4,Yes,No,0.1701,Low
159,Research & Development,Research Scientist,30,2613,10,3,No,No,0.201,Low
160,Sales,Sales Executive,33,6146,7,2,No,No,0.1854,Low
161,Research & Development,Research Scientist,56,4963,5,2,Yes,Yes,0.4637,Medium
162,Research & Development,Research Director,51,19537,20,3,No,No,0.1868,Low
163,Sales,Sales Executive,31,6172,7,3,Yes,Yes,0.8458,Critical
164,Research & Development,Research Scientist,26,2368,5,2,No,No,0.3203,Medium
165,Research & Development,Healthcare Representative,58,10312,40,4,No,Yes,0.1672,Low
167,Sales,Sales Representative,19,1675,0,3,Yes,Yes,0.9215,Critical
169,Research & Development,Laboratory Technician,22,2523,2,4,No,No,0.2994,Low
170,Research & Development,Manufacturing Director,49,6567,15,1,No,No,0.189,Low
171,Research & Development,Research Scientist,43,4739,3,3,No,No,0.2237,Low
174,Sales,Sales Executive,50,9208,2,4,No,No,0.2352,Low
175,Sales,Sales Executive,31,4559,2,3,Yes,Yes,0.773,Critical
176,Sales,Sales Executive,41,8189,9,3,Yes,No,0.2403,Low
177,Human Resources,Human Resources,26,2942,8,3,No,No,0.1514,Low
178,Research & Development,Manufacturing Director,36,4941,3,2,No,No,0.2418,Low
179,Research & Development,Manufacturing Director,51,10650,4,4,No,Yes,0.202,Low
182,Sales,Sales Executive,39,5902,15,3,No,No,0.1487,Low
183,Sales,Sales Executive,25,8639,2,3,No,No,0.5415,High
184,Human Resources,Human Resources,30,6347,11,4,Yes,No,0.2404,Low
190,Research & Development,Laboratory Technician,32,4200,5,1,No,Yes,0.7429,Critical
192,Research & Development,Research Scientist,45,3452,6,4,No,No,0.2991,Low
193,Research & Development,Research Scientist,38,4317,3,3,Yes,No,0.3292,Medium
194,Research & Development,Research Scientist,30,2632,5,3,No,No,0.3496,Medium
195,Sales,Sales Executive,32,4668,8,4,No,No,0.1341,Low
197,Research & Development,Research Scientist,30,3204,3,1,No,No,0.2694,Low
198,Research & Development,Laboratory Technician,30,2720,5,4,No,No,0.2769,Low
199,Research & Development,Manager,41,17181,7,1,No,No,0.1391,Low
200,Research & Development,Laboratory Technician,41,2238,5,1,No,No,0.2597,Low
201,Research & Development,Laboratory Technician,19,1483,1,2,No,No,0.6225,High
202,Research & Development,Research Scientist,40,5605,20,2,No,No,0.1136,Low
204,Sales,Sales Executive,35,7295,10,2,No,No,0.157,Low
205,Sales,Sales Representative,53,2306,7,3,Yes,No,0.3775,Medium
206,Research & Development,Laboratory Technician,45,2348,17,2,No,No,0.2441,Low
207,Sales,Sales Executive,32,8998,9,4,No,No,0.1966,Low
208,Research & Development,Manufacturing Director,29,4319,10,3,No,No,0.1106,Low
211,Research & Development,Manufacturing Director,51,6132,1,3,No,No,0.2372,Low
214,Research & Development,Research Scientist,58,3346,1,2,Yes,No,0.49,Medium
215,Sales,Sales Executive,40,10855,12,4,No,No,0.2353,Low
216,Sales,Sales Representative,34,2231,4,3,No,No,0.3317,Medium
217,Research & Development,Research Scientist,22,2323,2,4,No,No,0.3063,Medium
218,Research & Development,Research Scientist,27,2024,2,2,No,No,0.3767,Medium
221,Research & Development,Research Scientist,28,2713,5,4,No,No,0.2794,Low
223,Research & Development,Healthcare Representative,57,9439,5,4,Yes,No,0.2777,Low
224,Research & Development,Research Scientist,27,2566,1,3,Yes,No,0.5345,High
226,Research & Development,Manager,50,19926,5,2,No,No,0.1176,Low
227,Research & Development,Research Scientist,41,2451,9,3,No,No,0.256,Low
228,Sales,Sales Executive,30,9419,10,4,No,No,0.1834,Low
230,Sales,Sales Executive,38,8686,8,4,No,No,0.267,Low
231,Research & Development,Research Scientist,32,3038,5,3,No,No,0.3797,Medium
233,Research & Development,Research Scientist,27,3058,5,2,Yes,No,0.5162,High
235,Sales,Sales Representative,19,2325,0,1,No,Yes,0.8611,Critical
238,Research & Development,Laboratory Technician,36,2088,8,2,No,No,0.3681,Medium
239,Research & Development,Laboratory Technician,30,3072,12,1,No,No,0.2116,Low
240,Sales,Sales Executive,45,5006,5,1,Yes,No,0.3222,Medium
241,Research & Development,Research Scientist,56,4257,2,1,Yes,No,0.2787,Low
242,Research & Development,Research Scientist,33,2500,3,4,No,No,0.2402,Low
243,Research & Development,Laboratory Technician,19,1102,1,4,No,Yes,0.8112,Critical
244,Sales,Sales Executive,46,10453,24,1,No,No,0.1678,Low
245,Research & Development,Laboratory Technician,38,2288,2,4,No,No,0.2926,Low
246,Research & Development,Research Scientist,31,3929,4,4,Yes,No,0.5173,High
247,Research & Development,Research Scientist,34,2311,3,2,No,No,0.335,Medium
248,Sales,Sales Representative,41,3140,4,2,Yes,Yes,0.6667,High
249,Research & Development,Laboratory Technician,50,3690,3,3,No,No,0.1823,Low
250,Research & Development,Manufacturing Director,53,4450,4,1,No,No,0.1068,Low
252,Research & Development,Research Scientist,33,2756,8,2,No,No,0.1272,Low
253,Research & Development,Manager,40,19033,20,3,No,No,0.0692,Low
254,Research & Development,Research Director,55,18722,24,2,No,No,0.1158,Low
256,Research & Development,Manufacturing Director,34,9547,10,3,No,No,0.1192,Low
258,Research & Development,Healthcare Representative,51,13734,7,2,No,No,0.1099,Low
259,Research & Development,Manager,52,19999,33,3,No,No,0.1126,Low
260,Research & Development,Research Scientist,27,2279,7,2,No,No,0.2524,Low
261,Research & Development,Manufacturing Director,35,5916,1,3,Yes,Yes,0.8723,Critical
262,Research & Development,Research Scientist,43,2089,5,4,No,No,0.0894,Low
264,Research & Development,Manager,45,16792,20,4,No,No,0.1734,Low
267,Research & Development,Research Scientist,37,3564,8,1,Yes,No,0.4349,Medium
269,Research & Development,Laboratory Technician,35,4425,6,2,No,No,0.3581,Medium
270,Research & Development,Manufacturing Director,42,5265,5,3,No,No,0.108,Low
271,Research & Development,Manufacturing Director,38,6553,1,3,No,No,0.2591,Low
273,Research & Development,Manufacturing Director,38,6261,7,4,No,No,0.1436,Low
274,Research & Development,Manufacturing Director,27,4298,2,1,No,No,0.4728,Medium
275,Research & Development,Manufacturing Director,49,6804,7,4,Yes,No,0.1818,Low
277,Research & Development,Research Scientist,34,3815,5,3,Yes,No,0.3243,Medium
281,Research & Development,Laboratory Technician,40,2741,7,4,Yes,No,0.3969,Medium
282,Research & Development,Healthcare Representative,38,6673,1,1,Yes,Yes,0.8445,Critical
283,Sales,Sales Executive,29,7639,10,4,No,Yes,0.2784,Low
284,Research & Development,Research Scientist,22,2328,4,2,Yes,No,0.4925,Medium
286,Research & Development,Laboratory Technician,36,2153,8,4,No,No,0.2693,Low
